Object Number,Collection,Name,Description,combined_text,Maker,Place Made,Date Made,Materials,Measurements,Collection Online Title
1875-41/2,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular oblong shape, boxwood-faced design of lozenge-shaped flower pattern with ornate meandering bands; the designs are made from carved wood and metal pins and probably made for soft furnishings, England, c. 1775-1785.","textile printing block: Textile printing block of irregular oblong shape, boxwood-faced design of lozenge-shaped flower pattern with ornate meandering bands; the designs are made from carved wood and metal pins and probably made for soft furnishings, England, c. 1775-1785.",,"England, United Kingdom",1775-1785,,whole: 5 x 35 x 25 cm,Textile printing block of irregular oblong shape
1875-41/3,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular rectangular shape, boxwood faced design with some use of metal pins; ornate column with large flowers arranged around it and probably used for soft furnishing. Made in England, probably c. 1760-1775.","textile printing block: Textile printing block of irregular rectangular shape, boxwood faced design with some use of metal pins; ornate column with large flowers arranged around it and probably used for soft furnishing. Made in England, probably c. 1760-1775.",,"England, United Kingdom",1760-1775 probable date,wood with boxwood face and metal pins,whole: 5 x 38 x 20 cm,"Textile printing block, rectangular"
1875-41/4,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular rectangular shape, boxwood faced design on wood; large scale design of fantastic flowers; probably for furnishings. Made in England, probable date c. 1760-1775.","textile printing block: Textile printing block of irregular rectangular shape, boxwood faced design on wood; large scale design of fantastic flowers; probably for furnishings. Made in England, probable date c. 1760-1775.",,"England, United Kingdom",1760-1775 probable date,wood with boxwood face and metal pins,whole: 5 x 38 x 30 cm,Textile printing block of irregular rectangular sh
1875-41/5,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular shape, boxwood faced design of multi headed flower stalk with four leaves at base. Made in England, 1750-1830.","textile printing block: Textile printing block of irregular shape, boxwood faced design of multi headed flower stalk with four leaves at base. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,"overall: 50 mm x 220 mm x 115 mm,","Textile printing block of irregular shape, boxwood"
1875-41/6,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular rectangular shape, boxwood faced design of ornate flowers and leaves. Made in England, 1750-1830.","textile printing block: Textile printing block of irregular rectangular shape, boxwood faced design of ornate flowers and leaves. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,1.9685 x 12.2047 x 8.2677 in.; 5 x 31 x 21 cm,Textile printing block of irregular rectangular sh
1875-41/7,SCM - Textiles Machinery,textile printing block,"Textile printing block of irregular shape, boxwood faced design of  flowers and leaves, made in England, 1750-1830.","textile printing block: Textile printing block of irregular shape, boxwood faced design of  flowers and leaves, made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,2.3622 x 5.5118 x 6.2992 in.; 6 x 14 x 16 cm,"Textile printing block of irregular shape, boxwood"
1875-41/8,SCM - Textiles Machinery,textile printing block,"Textile printing block of rectangular shape, solid wood block, drilled and with numerous circular discs with eccentrically turned circle inserted to form a regular simple pattern. Made in England, c. 1800.","textile printing block: Textile printing block of rectangular shape, solid wood block, drilled and with numerous circular discs with eccentrically turned circle inserted to form a regular simple pattern. Made in England, c. 1800.",,"England, United Kingdom",1795-1805,wood,2.3622 x 5.5118 x 6.2992 in.; 6 x 14 x 16 cm,"Textile printing block of rectangular shape, solid"
1875-41/9,SCM - Textiles Machinery,textile printing block,"Textile printing block in the form of a long strip with brass pins driven in to form a pattern, made in England, 1800-1825.","textile printing block: Textile printing block in the form of a long strip with brass pins driven in to form a pattern, made in England, 1800-1825.",,"England, United Kingdom",1800-1825,wood with boxwood face,4.8 x 23 x 2.2 cm,Textile printing block in the form of a long strip
1875-41/10,SCM - Textiles Machinery,textile printing block,"Textile printing block, rectangular, boxwood faced; scallop design with two semi circular rows of minute pins in each scallop; made in England, c. 1800.","textile printing block: Textile printing block, rectangular, boxwood faced; scallop design with two semi circular rows of minute pins in each scallop; made in England, c. 1800.",,"England, United Kingdom",1795-1805,wood with boxwood face,whole: 5.5 x 25 x 19 cm,"Textile printing block, rectangular, boxwood faced"
1875-41/11,SCM - Textiles Machinery,textile printing block,"Textile printing block, irregular shape, boxwood faced on a thin wood base; unusual countryside scene design; made in England, c. 1800.","textile printing block: Textile printing block, irregular shape, boxwood faced on a thin wood base; unusual countryside scene design; made in England, c. 1800.",,"England, United Kingdom",1795-1805,wood with boxwood face,3 x 36 x 31 cm,"Textile printing block, irregular shape, boxwood f"
1875-41/12,SCM - Textiles Machinery,textile printing block,"Textile printing block, long strip, carved boxwood faced on a wood base with brass pins forming a dotted pattern. Made in England, c. 1800.","textile printing block: Textile printing block, long strip, carved boxwood faced on a wood base with brass pins forming a dotted pattern. Made in England, c. 1800.",,"England, United Kingdom",1795-1805,wood with boxwood face,4.2 x 27 x 3.6 cm,"Textile printing block, long strip, carved boxwood"
1875-41/13,SCM - Textiles Machinery,textile printing block,"Textile printing block, approximately square-shaped; boxwood faced with small floral design pattern and brass pins zig-zagging around two edges. Made in England, 1750-1830.","textile printing block: Textile printing block, approximately square-shaped; boxwood faced with small floral design pattern and brass pins zig-zagging around two edges. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,whole: 2.5 x 21 x 21 cm,"Textile printing block, approximately square-shape"
1875-41/14,SCM - Textiles Machinery,textile printing block,"Textile printing block, wood, rectangular, with a boxwood face, pins and metal strips forming a fern pattern. Made in England, 1750-1830.","textile printing block: Textile printing block, wood, rectangular, with a boxwood face, pins and metal strips forming a fern pattern. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,whole: 5 x 26 x 23 cm,"Textile printing block, wood, rectangular"
1875-41/15,SCM - Textiles Machinery,textile printing block,"Irregular rectangular printing block, wood faced on thin wooden board with a carved open floral pattern. Made in England, 1750-1830.","textile printing block: Irregular rectangular printing block, wood faced on thin wooden board with a carved open floral pattern. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood with boxwood face,whole: 2.5 x 43 x 35 cm,"Irregular rectangular printing block, wood faced o"
1875-41/16,SCM - Textiles Machinery,textile printing block,"Textile printing block of rectangular shape, boxwood face stuck to a thin wood backing sheet with an open floral design. Made in England, 1750-1830.","textile printing block: Textile printing block of rectangular shape, boxwood face stuck to a thin wood backing sheet with an open floral design. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,,2.3 x 41 x 32.5 cm,"Textile printing block of rectangular shape, boxwo"
1875-41/17,SCM - Textiles Machinery,textile printing block,"Rectangular Textile printing block, boxwood face stuck to thin wood backing sheet with a  floral and bird, non repeating design. Made in England, 1750-1830.","textile printing block: Rectangular Textile printing block, boxwood face stuck to thin wood backing sheet with a  floral and bird, non repeating design. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,,2.2 x 45 x 36 cm,"Rectangular Textile printing block, boxwood face s"
1875-41/18,SCM - Textiles Machinery,textile printing block,"Rectangular Textile printing block, boxwood face stuck to a thin wood backing sheet, garden and lake scene, oriental style. Made in England, 1750-1830.","textile printing block: Rectangular Textile printing block, boxwood face stuck to a thin wood backing sheet, garden and lake scene, oriental style. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood and box wood,whole: 2.3 x 42 x 32 cm,"Rectangular Textile printing block, boxwood face s"
1875-41/19,SCM - Textiles Machinery,textile printing block,"Narrow rectangular Textile printing block, boxwood face, with a design of stripes of repeating holly leaf. Made in England, 1800-1825.","textile printing block: Narrow rectangular Textile printing block, boxwood face, with a design of stripes of repeating holly leaf. Made in England, 1800-1825.",,"England, United Kingdom",1800-1825,wood and box wood,5.1 x 20.5 x 8.5 cm,"Narrow rectangular Textile printing block, boxwood"
1875-41/20,SCM - Textiles Machinery,textile printing block,"Textile printing block, boxwood face on wooden backing with a floral design, made in England, 1750-1830.","textile printing block: Textile printing block, boxwood face on wooden backing with a floral design, made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood and box wood,20.5 x 15 x 5.2 cm.,"Textile printing block, boxwood face on wooden bac"
1875-41/21,SCM - Textiles Machinery,textile printing block,"Irregular shaped textile printing block, wood faced on wooden backing, made in England, 1750-1830.","textile printing block: Irregular shaped textile printing block, wood faced on wooden backing, made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood and box wood,whole: 3.4 x 24 x 19.5 cm,"Irregular shaped textile printing block, wood face"
1875-41/22,SCM - Textiles Machinery,textile printing block,"Rectangular shaped textile printing block, wooden face on wooden backing with a design of small flowers in a repetitive pattern. Made in England, 1750-1830.","textile printing block: Rectangular shaped textile printing block, wooden face on wooden backing with a design of small flowers in a repetitive pattern. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,wood and box wood,whole: 4.8 x 25.5 x 19.5 cm,Rectangular shaped textile printing block
1875-41/23,SCM - Textiles Machinery,textile printing block,"Square Textile printing block, wood faced with a design of dainty flowers and leaves in a rotating pattern. Made in England, 1750-1830.","textile printing block: Square Textile printing block, wood faced with a design of dainty flowers and leaves in a rotating pattern. Made in England, 1750-1830.",,"England, United Kingdom",1750-1830,,whole: 5.1 x 22 x 22 cm,"Square Textile printing block, wood faced with a d"
1880-98,SCM - Textiles Machinery,cotton gin,"Hand churka or Roller cotton gin, by John M. Dunlop, Manchester, England, 1859.","cotton gin: Hand churka or Roller cotton gin, by John M. Dunlop, Manchester, England, 1859.","Dunlop, John M.","Manchester, Manchester, England, United Kingdom,",1859,,overall: 420 x 480 x 430 mm,"Hand churka or Roller cotton gin, by John M. Dunlo"
1880-99/1,SCM - Textiles Machinery,cotton gin,"Hand powered cottage saw gin, model made by  H. E. I. and Company (original made by W. Jamieson), Ashton-under-Lyne, Tameside, Manchester, England.","cotton gin: Hand powered cottage saw gin, model made by  H. E. I. and Company (original made by W. Jamieson), Ashton-under-Lyne, Tameside, Manchester, England.","Jamieson, W.","Ashton-under-Lyne, Tameside, Greater Manchester, England, United Kingdom",,,,"Hand powered cottage saw gin, model made by  H. E."
1880-99/2,SCM - Textiles Machinery,cotton (textile),"Cotton from the hand powered cottage saw gin, by  H. E. I. and Company (original made by W. Jamieson), Ashton-under-Lyne, Tameside, Manchester, England","cotton (textile): Cotton from the hand powered cottage saw gin, by  H. E. I. and Company (original made by W. Jamieson), Ashton-under-Lyne, Tameside, Manchester, England",,"Ashton-under-Lyne, Tameside, Greater Manchester, England, United Kingdom",,cotton (fibre),,Cotton from the hand powered cottage saw gin
1880-100,SCM - Textiles Machinery,cotton gin; model,"Model of an Indian Saw Gin (scale 1:4) of the type made at the Dharwar factory, Bombay, India, before or about 1872.","cotton gin; model: Model of an Indian Saw Gin (scale 1:4) of the type made at the Dharwar factory, Bombay, India, before or about 1872.",,"Bombay, India",1872,wood; brass,overall: 290 x 300 x 837 mm,Model of an Indian Saw Gin (scale 1:4) of the type
